"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 23 21:04:23 BST 2022","Mon May 23 21:07:23 BST 2022","180060","","Perceived Availability","","Perceived Availability","Localised and product is OOS for collection and delivery (prepush)","Localised and product is OOS for collection and delivery (prepush)",""
"passed","Mon Apr 25 19:35:15 BST 2022","Mon Apr 25 19:35:28 BST 2022","12754","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Perform sort after single select","Perform sort after single select",""
"passed","Mon May 16 16:32:08 BST 2022","Mon May 16 16:32:20 BST 2022","12215","","Product Card Variations","","Product Card Variations","Correct product card links for size searched variants large suitcase","Correct product card links for size searched variants large suitcase",""
"passed","Wed Aug 10 15:53:10 BST 2022","Wed Aug 10 15:53:27 BST 2022","17091","","CMS content in list","","CMS content in list","Content in PLP list","Content in PLP list",""
"passed","Fri Apr 08 11:01:29 BST 2022","Fri Apr 08 11:01:37 BST 2022","8089","","Back to search results page from search directory page","","Back to search results page from search directory page","Navigating directly to the /sd route","Navigating directly to the /sd route",""
"failed","Thu Aug 11 10:26:54 BST 2022","Thu Aug 11 10:27:18 BST 2022","24069","","Citrus in browse","","Citrus in browse","display 2 citrus products on plain browse and sort (mobile)","display 2 citrus products on plain browse and sort (mobile)",""
"passed","Thu Mar 31 11:53:01 BST 2022","Thu Mar 31 11:53:19 BST 2022","18602","","Citrus","","Citrus","prepush: citrus products on plain search and sort (desktop/tablet)","prepush: citrus products on plain search and sort (desktop/tablet)",""
"passed","Thu Mar 31 11:53:20 BST 2022","Thu Mar 31 11:53:33 BST 2022","13200","","Google AdSense","","Google AdSense","AdSense requests when coming from no results","AdSense requests when coming from no results",""
"passed","Mon May 23 21:04:24 BST 2022","Mon May 23 21:04:39 BST 2022","15712","","Google AdSense","","Google AdSense","AdSense requests when updating search term","AdSense requests when updating search term",""
"passed","Mon Aug 08 09:41:23 BST 2022","Mon Aug 08 09:42:14 BST 2022","50932","","Category facet exact match","","Category facet exact match","User enters an exact category match, then applies a filter","User enters an exact category match, then applies a filter",""
"passed","Mon May 23 21:04:00 BST 2022","Mon May 23 21:04:14 BST 2022","13403","","Sorting Functionality","","Sorting Functionality","prepush - search sorting by Price: Low - High","prepush - search sorting by Price: Low - High",""
"passed","Thu Apr 07 13:30:25 BST 2022","Thu Apr 07 13:30:37 BST 2022","12384","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the X button","Add to trolley modal and close using the X button",""
