"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 14:53:10 GMT 2022","Wed Aug 10 14:53:27 GMT 2022","17091","","CMS content in list","","CMS content in list","Content in PLP list","Content in PLP list",""
"passed","Mon Apr 25 18:35:03 GMT 2022","Mon Apr 25 18:35:15 GMT 2022","11874","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Ensure sorting is maintained after single select","Ensure sorting is maintained after single select",""
"passed","Fri Apr 08 10:00:55 GMT 2022","Fri Apr 08 10:01:17 GMT 2022","22003","","Customer Rating filter in the filter panel","","Customer Rating filter in the filter panel","Apply Customer Rating filter updates the URL","Apply Customer Rating filter updates the URL",""
"passed","Wed Apr 20 08:22:27 GMT 2022","Wed Apr 20 08:22:39 GMT 2022","11992","","Perceived Availability","","Perceived Availability","Localised and product is OOS for collection and delivery (prepush)","Localised and product is OOS for collection and delivery (prepush)",""
"failed","Wed Sep 28 15:37:33 GMT 2022","Wed Sep 28 15:37:55 GMT 2022","22271","","Perceived Availability","","Perceived Availability","Localised and products available to collect from <date>","Localised and products available to collect from <date>",""
"passed","Wed Apr 20 08:21:33 GMT 2022","Wed Apr 20 08:21:41 GMT 2022","8051","","Validate Filter Product Counts","","Validate Filter Product Counts","Prepush : Product count in search title","Prepush : Product count in search title",""
"passed","Mon Apr 25 16:54:15 GMT 2022","Mon Apr 25 16:54:32 GMT 2022","17804","","Applied filters","","Applied filters","Selected search page filters should see in the applied filter section","Selected search page filters should see in the applied filter section",""
"passed","Mon Apr 25 18:34:34 GMT 2022","Mon Apr 25 18:35:03 GMT 2022","29355","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Selecting multiple filters across different facets PRICE and BRANDS","Selecting multiple filters across different facets PRICE and BRANDS",""
"passed","Fri Apr 01 12:52:45 GMT 2022","Fri Apr 01 12:53:16 GMT 2022","30230","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the X button","Add to trolley modal and close using the X button",""
"passed","Wed Apr 20 08:21:01 GMT 2022","Wed Apr 20 08:21:16 GMT 2022","14188","","Tagging - Lister Page","","Tagging - Lister Page","prepush","prepush",""
"passed","Mon Mar 28 15:14:10 GMT 2022","Mon Mar 28 15:14:33 GMT 2022","22549","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on desktop/tablet","AdSense requests are called with correct channel ids on desktop/tablet",""
"passed","Fri Apr 08 10:01:48 GMT 2022","Fri Apr 08 10:02:00 GMT 2022","11418","","Perceived Availability","","Perceived Availability","Localised and product is OOS for collection and delivery (prepush)","Localised and product is OOS for collection and delivery (prepush)",""
"passed","Mon May 23 20:02:40 GMT 2022","Mon May 23 20:02:45 GMT 2022","5557","","Back to search results page from search directory page","","Back to search results page from search directory page","Navigating directly to the /sd route","Navigating directly to the /sd route",""
"broken","Mon May 23 19:21:01 GMT 2022","Mon May 23 19:21:40 GMT 2022","39537","","Reset All Button in the filter model","","Reset All Button in the filter model","Apply Reset All after filters","Apply Reset All after filters",""
"passed","Mon May 23 20:04:53 GMT 2022","Mon May 23 20:05:08 GMT 2022","15309","","Google AdSense","","Google AdSense","AdSense requests when going to no results","AdSense requests when going to no results",""
"passed","Wed Apr 20 08:21:53 GMT 2022","Wed Apr 20 08:22:09 GMT 2022","16383","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised (prepush)","Add your postcode link displays when not localised (prepush)",""
"passed","Thu Mar 31 10:52:58 GMT 2022","Thu Mar 31 10:53:04 GMT 2022","6376","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised (prepush)","Add your postcode link displays when not localised (prepush)",""
"passed","Mon Jun 06 13:07:06 GMT 2022","Mon Jun 06 13:07:21 GMT 2022","15455","","Unsupported browser","","Unsupported browser","Customer browsing account page with an unsupported browser","Customer browsing account page with an unsupported browser",""
"passed","Mon May 23 20:03:39 GMT 2022","Mon May 23 20:04:00 GMT 2022","20889","","Google AdSense","","Google AdSense","AdSense requests when navigating from browse PLP to search and back again","AdSense requests when navigating from browse PLP to search and back again",""
